spatial_backbone,implementation,tiny_quality_pass,final_train_total,final_holdout_total,future_drmsd,future_rmsd,future_bond_rmse,future_contact_error,velocity_rmse,acceleration_rmse,frequency_retention,frame0_drmsd,frame0_rmsd,parameter_count,training_elapsed_s,train_tokens_per_s,holdout_eval_s_per_epoch,peak_allocated_memory_bytes,peak_reserved_memory_bytes,graph_mode,backend_used,checkpoint
torchmd_et,reused_immutable_v1,True,0.3265025151762562,0.30615650728727,0.6447996686987669,0.8736266717088395,0.18076802144683218,0.00014960697007753077,0.004180777174383663,6.977750501020697e-05,0.6700325465609884,0.12529373545107086,0.14541199597881516,1974904,4157.264188461937,82979.53277961575,47.081954873989645,60401873920,84508934144,external,cuda_radius,/workspace/PVB/outputs/visnet_spatial_v1/tiny_overfit/run_20260901T192557/torchmd_et/codec_step_00004979.pt
visnet_radius,reused_immutable_v1,False,0.3795530969053169,0.34869259264734054,0.6822365667684123,0.9329928429325574,0.17739490651347883,0.00022832485141655983,0.004453239490063862,7.451577337430705e-05,0.636193006976038,0.10323461801443355,0.11224857791929564,2133316,3536.93493356416,97532.99013967917,45.415963562158865,38756042752,84102086656,native_radius,cuda_radius,/workspace/PVB/outputs/visnet_spatial_v1/tiny_overfit/run_20260901T192557/visnet_radius/codec_step_00004979.pt
visnet_bonded,reused_immutable_v1,False,0.37493970243433433,0.34561275684425974,0.6798277294121056,0.9283503411821745,0.17475142915222452,9.543315594098989e-05,0.004442982546298646,7.432527121538524e-05,0.619522961286398,0.07081086145173254,0.08682985476491405,2133316,3721.7317821690813,92690.14001835123,45.96998504535295,38769917440,84414562304,external,cuda_radius,/workspace/PVB/outputs/visnet_spatial_v1/tiny_overfit/run_20260901T192557/visnet_bonded/codec_step_00004979.pt
visnet_v2_bonded,new_v2,False,0.3353972431956505,0.30960963933895796,0.6462773866359406,0.8797021821814704,0.16075404971509447,0.00012561445423010358,0.004224299360090859,7.057299958674016e-05,0.6789051819051433,0.08686606829224959,0.10354856883555691,2036116,10253.14757346129,33645.067285766636,57.652223779354244,38128441856,39894122496,external,cuda_radius,outputs/visnet_spatial_v2/tiny_overfit/neibu_run_20260902T185930/visnet_v2_bonded/codec_step_00004979.pt
