checkpoint,history,path,aligned_rmsd,drmsd,bond_rmse,contact_f1,contact_occupancy_mae,rmsf_prediction,rmsf_target,rmsf_absolute_error,rmsf_correlation,velocity_rmse,dynamic_correlation,available_aligned_rmsd,available_bond_rmse
pilot_48,H4,clean_latent_decoder_oracle,0.06447922388132177,0.056384039763559136,0.036713843931907124,0.9830625863479469,0.0003156218319532978,1.0780280567705631,1.0778551536301773,0.000675112009048462,0.9999306661387284,0.0002126371244660516,0.9996682641406854,8,8
pilot_48,H4,generated,2.3136086120726587,1.6900638226969225,0.54350631558073,0.7655776446724103,0.004495556262279622,0.8208616053064665,1.0778551536301773,0.26633348564306897,0.6182140552749237,0.011840640899933004,0.0009387008855507397,8,8
pilot_48,H4,persistence,2.1546324697364017,1.507361064062125,0.04166081290663058,0.8706837357975223,0.002391746717095785,5.855081208020845e-07,1.0778551536301773,1.0778545637925465,0.20657406157503527,0.008758631819154854,,8,8
pilot_48,H8,clean_latent_decoder_oracle,0.06442763468761638,0.05623440208137475,0.03671399890702512,0.9830321123396888,0.0003164645474653782,0.9844373154143493,0.9841546316941578,0.0006594943503538767,0.9999115752677122,0.0002121030613640237,0.9996636447807152,8,8
pilot_48,H8,generated,2.2288584266506106,1.6378312815993468,0.5976144764107019,0.7543012244604466,0.004746556002988442,0.8234944281478722,0.9841546316941578,0.2030829737583796,0.5913357560833294,0.012056026618021048,0.00019919485930586266,8,8
pilot_48,H8,persistence,1.9878072017578456,1.3901888042312165,0.04161241603274536,0.8748062840408966,0.0023266136084447056,0.0,0.9841546316941578,0.9841546316941578,,0.008725944558425625,,8,8
capacity_192_step111573,H4,clean_latent_decoder_oracle,0.02535284512951279,0.023522094100256005,0.014503758838339927,0.9935255044299622,0.00011968683895849289,1.0776836288472018,1.0778551536301773,0.0002636437614758809,0.9999868646264076,0.0001017268046346941,0.9999238165716331,8,8
capacity_192_step111573,H4,generated,2.3896659186381832,1.7781449146846098,0.3535467466070266,0.7620110851336757,0.004609294775228337,0.9464499255021412,1.0778551536301773,0.19142696013053254,0.722206978748242,0.012483472061300821,0.0030308914562435047,8,8
capacity_192_step111573,H4,persistence,2.1546324697364017,1.507361064062125,0.04166081290663058,0.8706837357975223,0.002391746717095785,5.855081208020845e-07,1.0778551536301773,1.0778545637925465,0.20657406157503527,0.008758631819154854,,8,8
capacity_192_step111573,H8,clean_latent_decoder_oracle,0.02536100991942627,0.02352264955553802,0.014510803313449488,0.993531254081557,0.0001194898407962708,0.9839996459583441,0.9841546316941578,0.00026992087562878925,0.9999824936191241,0.00010148965289215846,0.9999227585891882,8,8
capacity_192_step111573,H8,generated,2.2802062522615025,1.6890743331278926,0.3643272405888921,0.7609545683488461,0.004625162001475235,0.8942527013520399,0.9841546316941578,0.17576115826765693,0.6826633848249912,0.012282680067720252,-0.005167018844986159,8,8
capacity_192_step111573,H8,persistence,1.9878072017578456,1.3901888042312165,0.04161241603274536,0.8748062840408966,0.0023266136084447056,0.0,0.9841546316941578,0.9841546316941578,,0.008725944558425625,,8,8
