history,flow_time,windows,endpoint_aligned_rmsd,endpoint_bond_rmse,flow_velocity_mse_h,flow_velocity_mse_v,endpoint_latent_mse_h,endpoint_latent_mse_v,clean_oracle_aligned_rmsd,clean_oracle_bond_rmse
H4,0.1,16,2.1099732011593706,0.5919937902869397,0.07584847090765834,0.03503644932061434,0.061437260592356324,0.028379524941556156,0.06452595839348002,0.03676406837099498
H4,0.5,16,1.06587113469925,0.325409689667503,0.12135746609419584,0.03367100574541837,0.03033936768770218,0.008417751378146932,0.06452595839348002,0.03676406837099498
H4,0.95,16,0.1563520923430503,0.09701159728173653,0.7217952832579613,0.3106423243880272,0.0018044891257886775,0.0007766061899019405,0.06452595839348002,0.03676406837099498
H8,0.1,16,1.9020507594162104,0.6005670461369752,0.07008128566667438,0.03292757540475577,0.056765844114124775,0.026671335566788912,0.06441538511767193,0.0367630476419975
H8,0.5,16,1.0268598114231773,0.3405370292841008,0.11599690467119217,0.034644071594811976,0.02899922663345933,0.00866101833526045,0.06441538511767193,0.0367630476419975
H8,0.95,16,0.15349452263815533,0.09859785716322043,0.7287786453962326,0.3341224938631058,0.0018219474804936908,0.0008353066659765318,0.06441538511767193,0.0367630476419975
