mode,ratio,active_feature_volume_per_atom,parameter_count,trainable_parameter_count,final_future_rmsd,final_future_drmsd,final_future_bond_rmse,final_velocity_rmse,final_acceleration_rmse,final_frequency_retention,final_rmsf_correlation,final_detail_norm,training_elapsed_s,train_tokens_per_s,end_to_end_seconds,peak_allocated_memory_bytes,peak_reserved_memory_bytes,checkpoint,checkpoint_sha256,best_checkpoint,best_checkpoint_sha256
ratio1_state_detail,1,2048,643016,82432,11.424228348517836,10.154869811018694,3.083183310961395,0.020910188632025643,0.000358905220342091,9.3826355404324,0.7663417412684514,,3884.8477254100144,88798.29130589447,0.1920152030264338,25781457408,30857494528,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio1_state_detail/codec_step_00004976.pt,26cfc05484bf28ca4399db3665dc28c99fa3c97e21afde342bfbfbce9b22fe05,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio1_state_detail/codec_best.pt,7e98e51b28144ad830f145b8df563472965f70781602a4baf70ebb9aa665fd70
ratio2_state_detail,2,2048,724936,164352,11.241862129719914,9.900527537168191,3.1229132313131327,0.012817947165172336,0.00019206512209590543,6.367881815657657,0.7849691576427884,0.19100824652648554,5355.861425058916,64409.40357156556,0.19569124296928445,26321821696,31606177792,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio2_state_detail/codec_step_00004976.pt,324661817c765034174638e8e49eaa8d5d9f94677f7c2f4e36e5fe724cfe7306,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio2_state_detail/codec_best.pt,0425288afbe3241eacead422fde35b97b38965cbe715840b1e6abda424395d46
ratio4_state_detail,4,1024,856008,295424,11.13861923704431,9.7673008831423,3.107002410521475,0.008174354200393561,0.00012611130203294242,4.089264425457033,0.7823980374213977,0.2383449328381841,5385.18113132799,64058.72552608655,0.19821669332062206,26322873344,31572623360,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio4_state_detail/codec_step_00004976.pt,d8c381e21582a6505b64e6a055018fc0dba3c31502b4ad1c92cebf75c12d7678,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio4_state_detail/codec_best.pt,51bb7f5a3e4747098ffafb6c6b743df6f3b8fe839f4f2b94035c691bab09d4dd
ratio4_matched_pooling,4,1024,1102536,541952,10.544774117261873,9.306049708536408,3.3442151386815175,0.010672171436970775,0.00017063206768049125,4.967844162231836,0.7143342227507861,,3870.5015483843163,89127.42591305815,0.19195618371789655,25788809728,30865883136,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio4_matched_pooling/codec_step_00004976.pt,4fd3b29f0177e5ae15d2e5a89518a58af510b0a62a3d229fe2bce3eda3e513c0,/workspace/PVB_state_detail_codec_v2/outputs/state_detail_codec_v2/t0_remote_final/run_20260903T213807/ratio4_matched_pooling/codec_best.pt,ba807ff9097c77de312f746d33f5cf8c3a3f11ef8d01fc98df0e97ad23f0e1f0
